Name,Symbol,Rynek/Segment,Sektor,20Q24_var,20Q24_dif,Gain/Risk
ZAKŁAD BUDOWY MASZYN ZREMB-CHOJNICE SPÓŁKA AKCYJNA (ZRE),ZRE,Równoległy,urządzenia mechaniczne,1.233124515222174,38.983050847457626,31.613231564400447
MAKARONY POLSKIE SPÓŁKA AKCYJNA (MAK),MAK,Podstawowy,żywność,0.9073786648537481,7.339449541284393,8.08862917497335
ATLANTA POLAND SPÓŁKA AKCYJNA (ATP),ATP,Podstawowy,żywność,5.984145989685131,24.48979591836733,4.092446267283649
LENTEX SPÓŁKA AKCYJNA (LTX),LTX,Podstawowy,materiały budowlane,6.8029699890165025,18.911917098445596,2.779950099585794
SOPHARMA AD (SPH),SPH,Podstawowy,Produkcja leków,22.759451249640176,54.54545454545455,2.3966067523845465
BIOMED-LUBLIN WYTWÓRNIA SUROWIC I SZCZEPIONEK SPÓŁKA AKCYJNA (BML),BML,Podstawowy,Produkcja leków,514.1370239271012,745.2914798206278,1.449596985114812
R22 SPÓŁKA AKCYJNA (R22),R22,Podstawowy,Nowe technologie,27.547839243138142,33.05084745762711,1.1997618820815394
OPTEAM SPÓŁKA AKCYJNA (OPM),OPM,Równoległy,oprogramowanie,9.45807078234698,10.833333333333337,1.145406244321328
ASSECO SOUTH EASTERN EUROPE SPÓŁKA AKCYJNA (ASE),ASE,Podstawowy,oprogramowanie,96.29573686814763,68.6131386861314,0.7125251949635065
EMC INSTYTUT MEDYCZNY SPÓŁKA AKCYJNA (EMC),EMC,Podstawowy,Szpitale i przychodnie,193.84738717072216,137.14285714285717,0.7074784919441546
ZAKŁADY TŁUSZCZOWE KRUSZWICA SPÓŁKA AKCYJNA (KSW),KSW,Podstawowy,żywność,11.615902472141244,4.705882352941174,0.4051241273958204
NEUCA SPÓŁKA AKCYJNA (NEU),NEU,Podstawowy,Dystrybucja leków,107.41815232480153,24.96954933008526,0.23245186022735284
MLP GROUP SPÓŁKA AKCYJNA (MLG),MLG,Podstawowy,wynajem nieruchomości,149.9236124469967,34.285714285714285,0.22868788795917985
DINO POLSKA SPÓŁKA AKCYJNA (DNP),DNP,Podstawowy,artykuły codziennego użytku,280.5429569463247,43.924050632911396,0.15656800338536117
CD PROJEKT SPÓŁKA AKCYJNA (CDR),CDR,Podstawowy,Gry,276.0548309152678,41.33286068769938,0.14972699644726042
MO-BRUK SPÓŁKA AKCYJNA (MBR),MBR,Równoległy,Recykling,617.191170775784,89.47368421052632,0.1449691577701307
PLAYWAY SPÓŁKA AKCYJNA (PLW),PLW,Równoległy,Gry,630.5926260278944,77.41935483870968,0.12277237576718034
TEN SQUARE GAMES SPÓŁKA AKCYJNA (TEN),TEN,Równoległy,Gry,1231.9203285715766,95.61551433389545,0.07761501463715803
